	essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6	num_words	num_sentences	num_lemmas	num_commas	num_exclamation_marks	num_question_marks	average_word_length	average_sentence_length	num_nouns	num_verbs	num_adjectives	num_adverbs	num_conjunctions	num_spelling_errors	num_stopwords	automated_readability_index	coleman_liau_index	dale_chall_index	difficult_word_count	flesch_kincaid_grade	gunning_fog	linsear_write_formula	smog_index	syllables_count
5982	9538	4	Saeng and her mother have to be determined to try their best in order to survive. Saeng and her mother has been thourgh a lot and when she failed the @CAPS1 test, she was more depressed than before, The author concludes this story with this paragraph to give readers the thought oF how it is to be determined to adapt and survive in a different place and though Saeng and her mother are away from their homeland they still enjoy the things they did in Vietnam, like the flowers, and the hot peppers and bitter melons, her friends disagree with the taste but it doesnt stop her from enjoying what she loves most.	2	2		2																						113	2	121	5	0	0	4.415929203539823	56.5	24	15	8	4	9	10	68	27.6	8.84	9.51	15	21.8	23.31	26.5	0.0	144
5985	9541	4	The author concludes this story with the paragraph because she is proving how something from a memory can make someone determined. For example, saeng failed her driver’s test but upon reaching the hibiscus plant, it reminded her of her old home. Also, while she is planting the plant, she sees the geese with a new familiarity. This combined makes her determined to complete her test because having two reminders of both homes, it comforts her to know that she can adapt easily and treasure her memories as well.	3	2		3																						88	4	97	5	0	0	4.829545454545454	22.0	17	16	5	4	2	10	50	12.3	10.15	9.03	17	9.5	12.44	13.25	11.7	127
5992	9548	4	The author concluded the story with that paragraph because it leaves you to interpret and decide. It doesn’t come out  and tell you what the test was for or even if she passed it, that’s for you to decide. It also leaves you wondering what is going to happen until then. The ending to the story can be anything you want it to be, it is up for interpretation. To different people it could mean different things.	1	1		1																						77	5	85	2	0	0	4.282051282051282	15.6	9	15	2	3	3	9	50	6.6	6.96	6.66	5	6.9	8.24	7.9	9.4	107
5996	9552	4	The author concludes the story with this paragraph inorder to show Saeng’s determination. It is also relating the drivers test to the hibiscus plant. It is saying that when everything else starts coming to life, she will also accomplish something. She needs the motivation of her surroundings to push her. Throughout the story, Saeng is affected by her surroundings. For example, when she’s in the greenhouse, it takes her back to her childhood, “It was like walking into another world. A hot, most world exploding with greenery.... Plants that she had not even realized she had known but had forgotten drew her back to into her childhood world.”	2	2		2																						108	8	121	6	0	0	4.9907407407407405	13.5	26	16	2	7	1	18	63	8.8	10.14	7.96	19	7.4	9.1	7.0	10.7	159
6001	9557	4	In the last paragraph they trying to express what is coming. When winter is over spring will come which means the hibiscus will come back and it will be like home. Also the geese will return and because of that she will take the quiz again. To her it’s like starting all over and hopefully she will pass. Also she loves the hibiscus and seamce thats back maybe she will do so much beter. Overall a new time is coming.	1	1		1																						80	6	87	0	0	0	4.225	13.333333333333334	12	14	3	11	4	7	51	5.1	5.9	6.86	8	3.8	6.32	6.166666666666667	7.2	99
6006	9562	4	The author chose to end the story with the final paragraph for several reasons. Saeng states that she will retake her driving test in the spring. Archetypically, spring symbolizes a new start or new opportunity. Ending the story with this archetype shows that later on, Saeng has a new chance to succeed at her test and also to make the best of being in @LOCATION1 and adapt to her new life. When she buys the hibiscus plant, she remembers her old home and all the wonderful memories she has of it. The plant seems to give her hope and the last paragraph of the story mentions the hibiscus. This shows that having the hibiscus around will give her hope of passing her test and also of adjusting to @LOCATION1 while remembering her old home in Vietnam	3	3		3																						136	7	145	3	0	0	4.522058823529412	19.428571428571427	32	24	11	6	6	11	75	9.6	8.47	7.5	19	8.5	10.41	8.833333333333334	11.2	188
6007	9563	4	The author concludes the sentence on the end to state when the plants start over growing and the geese come back, she will try again. For example, the plants have to grow their pedals back and the geese have to make their home and find food again. The author is saying she will take the test again when the geese come back and the plants grow again.	1	1		1																						67	3	72	2	0	0	4.223880597014926	22.333333333333332	16	14	0	7	4	3	41	9.6	7.09	6.16	5	6.1	9.52	11.5	6.4	76
6010	9566	4	The author concludes the story with this paragraph bY the author shows that Saeng is not giving up and that she found a hobby to look forward too An example “the winter hibiscus was in the ground now and Saeng tamped down the soil around it overhead at lock of Canada geese flew by”, That why the author cludes the story with this paragraph.	1	1		1																						64	1	66	1	0	0	4.34375	64.0	19	8	0	4	2	5	34	31.0	8.61	9.28	6	24.7	26.85	34.0	0.0	82
6012	9568	4	The author concludes this way because when it gets warm and nice outside that they will go to take the test again cause it is to nosty outside now.	0	0		0																						29	1	30	0	0	0	4.103448275862069	29.0	3	6	2	3	1	2	18	12.4	6.92	6.71	2	9.9	11.6	14.5	0.0	35
6015	9571	4	"In my opinion, the author concludes the story by saying that she will retake the drivers test because not only will she take the drivers test again, but she will also be more comfortable in her life. The drivers test is not the main problem, it’s adapting to her new environment that is causing Saeng so much heartache. For example,  in lines @NUM1 Saeng’s thought’s are ""A wave of loss so deep and strong stang Saeng‘s eyes now and swept over her “and” in the warm moist shelter of the greenhouse, Saeng brake down and wept.” This piches that Saeng is having trouble readjusting to her new life and is reminded of her old memories from where she used to live and cries because it’s gone. I think that failing her drivers test was just little thing that finally caused her to cry because of the stress, and when she said  “and this hibiscus is budding, I will take that test again.” It means that she will overcome all that and move on."	3	3		3																						173	6	187	7	0	0	4.365714285714286	29.166666666666668	42	25	10	9	8	24	97	20.9	8.66	8.8	21	16.6	18.94	17.666666666666668	11.2	220
6017	9573	4	The author concludes the story with this because she is say that she is going to grow with the season chang. She is in a new country and just failed her drivers test. She feels down but the hibiscus reminds her of being back home. In the story @CAPS1 mother says “I’ve seen this kind blooming along the lake its strong enough to make it through the winter. I think that Saeng can relate to that because if the flower can make it in the winter tha she can make it in a new country.	2	2		2																						95	5	100	0	0	0	4.063157894736842	19.0	19	15	3	4	2	8	60	7.2	5.92	6.91	7	6.0	8.02	8.7	5.7	117
6021	9577	4	It is all most sping like he said show melting and geese return and hibiscus is buding. Grass is growing tree are buding, @CAPS1 are singing	0	0		0																						26	2	28	1	0	0	4.423076923076923	13.0	7	5	2	2	2	3	12	5.9	6.83	8.53	6	4.8	6.74	6.0	0.0	35
6025	9581	4	The author concluded the story with this sentence because shes letting people know that she enjoys nature more than school.	0	0		0																						20	1	22	0	0	0	5.2	20.0	6	4	1	0	0	1	10	13.1	12.59	7.79	3	9.9	10.0	11.0	0.0	30
6031	9587	4	The author concludes the story with that paragraph because it explains that Saeng will try again once spring comes around. For example, “I failed the test,” (Ho) shows that saeng did fail the test, but got her mother a hibiscus to plant in her garden. Her mom feels bad about Saeng failing so she cooks her food to make her feel better and try to forget about failing. This is important because it makes saeng feel a sense of comfort and relief knowing she can take the test again in confidence.	1	2		2																						91	4	99	3	0	0	4.450549450549451	22.75	22	21	2	5	3	10	46	10.9	8.25	7.72	9	8.6	10.44	12.375	8.8	115
