	essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6	num_words	num_sentences	num_lemmas	num_commas	num_exclamation_marks	num_question_marks	average_word_length	average_sentence_length	num_nouns	num_verbs	num_adjectives	num_adverbs	num_conjunctions	num_spelling_errors	num_stopwords	automated_readability_index	coleman_liau_index	dale_chall_index	difficult_word_count	flesch_kincaid_grade	gunning_fog	linsear_write_formula	smog_index	syllables_count
5978	9534	4	The  author  concludes  the  story  of  paragraph  with the paragraph because it show the connection of nature and the girl. The paragraph says,”…when the snow  melts and the geese return and this hibiscus is budding, then  I will take that test again”(No @NUM1).In spring when all of these events take place. Spring is the  sign  of  life  and  birth  or  renewal. The geese come back. They are “renewed” in a symbolic sense. When the snow melts you can see the grass again which is a sign of life. When plants bud they are born. The  character  decides  when  nature  is symbolically reborn  and  renewed she  will start again just like nature.	2	3		3																						112	8	146	2	0	0	3.9124087591240877	17.125	35	12	3	6	6	15	63	7.1	7.94	6.87	13	7.6	7.74	5.875	8.1	165
5981	9537	4	Because they wanted to get it done with so they made the end like the first part of the story I like the part when the birds came back they got some of the flower come back to them.	0	0		0																						39	1	40	0	0	0	3.6666666666666665	39.0	6	8	1	3	0	1	29	15.4	4.42	6.38	1	12.6	15.6	19.5	0.0	43
5986	9542	4	he was saying that you should not give up and that you should keep trying like the plants in the spring time.	1	1		1																						22	1	23	0	0	0	4.0	22.0	3	4	0	0	1	1	16	8.4	5.63	6.88	2	6.0	8.8	11.0	0.0	24
5997	9553	4	"In the story ""Winter Hibiscus"" Saeng finds comfort in the plant after she failed her test. The plant reminds her of home and connects her with her past experiances. Even though she failed the test the first time she feels that if she studies and trys again she can pass. This connects to the Hibiscus because in the winter the plant dies but then come spring its pretty and blossoms again. Saeng feels a connection with the plants rebirth and feels she can start over again to and do well on the test. That is why the author includes the paragraph that Saeng vowes to take the test again when the spring comes and the hibiscus blossoms."	2	2		2																						117	6	125	0	0	0	4.444444444444445	19.5	30	20	2	7	7	9	68	9.2	8.12	7.03	10	6.2	8.83	8.0	8.3	145
6000	9556	4	The author concludes the story with this paragraph because it is a meaningful summary of the events in the story. Everything that happed to Saeng  while she was at the florizd  is summed upinto  something resembling vengeance. The whole reason that Saeng was sad in the first place was that she failed her driving test. In the final paragraph, she vows to take the test again when the hibiscus buds. The hibiscus that Saeng  bought will begin budding in the spring, when the snows melt. The last paragraph of the story gives roem for Saeng to dealhtith her nostalgiaover the winter season. Finally, the  geese that fly south make Saeng feel sad, but they light a spark within her she tells herself that she will take the driving test again when the geese return, when the hibiscus buds, and when the snows melt.	2	2		2																						143	7	161	6	0	0	4.52027027027027	21.142857142857142	37	22	8	4	2	18	80	10.6	9.11	7.63	13	7.7	9.84	8.666666666666666	10.0	190
6008	9564	4	The author wrote the paragraph because she went back in side the house to get a dinner and because ain’t going to see the garden until the other day and because the winter come and she will not play outside anymore until the winter goes. Like she said “In the spring when the snows melt and the geese return and this hibiscus is budding, then I will take that test again”. That quotation explain why the author concludes the story with this paragraph.	0	0		0																						83	3	86	1	0	0	4.445783132530121	27.666666666666668	21	14	2	4	5	6	48	13.4	8.54	6.72	6	10.6	12.04	14.5	7.8	109
6016	9572	4	It was good that the author concluded the story with this paragraph. Saeng loved the hibiscus so when spring come and the hibiscus would bloom it would  be the best time to take that test again from already failing it. It would probably make her more confident to take the driving test again at the right time. So in conclusion that’s why the author concludes that paragraph in the story	1	1		1																						70	4	74	0	0	0	4.47887323943662	17.75	15	10	4	7	1	6	42	8.7	8.47	7.21	9	6.6	9.86	10.25	10.1	93
6018	9574	4	"In the story “Winter Hibiscus"", the auther finishes the story with this last paragraph, “when they come back, Saeng vowed silently to herself, in the spring when the snows melt and the geese return and this hibiscus is building, then I will take that test again. The auther finishes the story with that paragraph because in the beginning, Saeng had purchased hibiscus plant because it had reminded her of her hometown. (“Plants that she had not realized that she had known but had forgotten drew her back into her childhood world”) So she purchased it, but since there was bad weather at the time, Saeng had to get the plant back in time and plant it in the graden. But she failed setting if there on time. That is why it says “I will take that test again"". And she will take it again during the spring when the hibiscus blooms once again. That is why the auther finished the story with that paragraph."	2	2		2																						164	8	183	8	0	0	4.5060975609756095	20.5	34	26	4	13	7	21	104	13.5	8.48	6.72	10	10.4	11.9	29.5	10.5	210
6019	9575	4	The author concludes the paragraph like this because it shows that she @MONTH1 not going to give up. I @MONTH1 this because she vowed silently to herself that she was going to take the test again during the spring, also, it was the aiudieres not the gains in old years seeds an ezing. In conclusion they one the reason why the author concludes the paragraph like this.	1	1		1																						67	3	72	2	0	0	4.507462686567164	22.333333333333332	12	10	1	3	0	7	42	11.0	8.54	7.57	6	8.4	9.52	11.5	6.4	87
6026	9582	4	The author concludes this story with this paragraph because the flower is told about all through the story and the author puts when the hubiscius is budding then I will take that test again.	0	0		0																						34	1	35	0	0	0	4.617647058823529	34.0	8	5	0	2	1	2	22	17.3	9.93	7.64	4	13.0	14.78	18.0	0.0	45
6027	9583	4	The author concludes this story with this paragraph because she is telling us what will happen beyond the story we are reading. It means when the snow melts, she’ll start all over again and rebuild the greenhouse.	0	0		0																						37	2	40	1	0	0	4.783783783783784	18.5	8	7	0	3	1	4	22	10.3	9.98	7.54	4	7.0	7.4	8.25	0.0	48
6028	9584	4	I think the author concludes the story the way she did to show determination. I also believe that it symbolizes adaption, when the season changes, as will Saeng, she will take the test again. Everything will soon go back to normal and will adjust just like she will. Everything is “almost familiar to her now” (@NUM1).	1	2		2																						56	4	65	3	0	0	4.696428571428571	14.0	10	11	2	5	1	9	35	7.7	8.34	7.15	7	6.4	7.74	7.25	9.5	78
6030	9586	4	The author concludes this paragraph in the story because thats when she starts growing plants again & she wants to start over again	1	1		1																						23	1	24	0	0	0	4.739130434782608	23.0	4	6	0	2	1	0	13	12.9	11.2	9.75	3	8.3	8.8	11.5	0.0	29
6032	9588	4	The author concludes the story with this paragraph because of some causes. Saeng vowed silently to herself. That shows she calm down already, she feels better with her new country. She feels the snows meet, the geese return, she says that she will take that test again. It shows one that she doesn’t feel bad with the test more. She knows that she has opportunity to take it again and does it better. She has a different feeling with her problem. She looks her new country with a different eyes. All things with her become better. These are some reasons explain why the author concludes this story with this paragraph.	2	1		2																						110	10	123	3	0	0	4.627272727272727	11.0	20	21	8	6	1	14	65	5.9	7.69	7.2	8	4.0	4.76	4.3	6.3	143
6037	9593	4	I believe that author ended the story with that sentence because it give a lifting feeling after the story was so sad. Saeng missed her homeland, was sad, used the flowers as relief, sad about her driving test and realy liked the plant. So the last sentence seemed to fit in as a confort zone to make the reader a bit more relieved.	1	1		1																						63	3	69	3	0	0	4.285714285714286	21.0	18	10	5	3	1	7	35	9.3	7.02	8.44	10	7.9	8.4	10.5	3.1	82
6039	9595	4	The author of “Winter Hibiscus” ends the story with this paragraph because it reveals the importance of the Winter Hibiscus. In the story Saeng moves from Vietnam and feels very homesick. She fails her drivers test and is very upset. When she sees the familiar plant she is reminded of her home in Vietnam. The Winter Hibiscus reminds Saeng of fond memories with her grandmother and simple things such as her fine. Toothed buffalo-horn comb and the hibiscus hedge that would leave soft red petals in her well water. When seeing the familiar plant. “Saeng felt a shock recognition so intense, it was almost visceral. ”This shows how important the hibiscus was to her. The author ended the story with that paragraph to show how the winter hibiscus is a comfort to Saeng and will encourage her to do better on her next driver’s test.	2	2		2																						145	10	158	1	0	0	4.731034482758621	14.5	41	18	15	5	5	18	74	9.9	9.39	7.47	15	8.0	9.45	7.857142857142858	11.5	206
6044	9600	4	The author concludes the story with a sentence about retaking her test when the geese are back and the hibiscus is budding because they each represent something else. The geese represent change because they change their environment in the winter just like Saeng changes her environment by going to the plant place. The hibiscus reminds her of home because at her home there are similar plants. The hibiscus budding represents a new life just like the one Saeng has to live in a new home. Overall, the sentence that the author era’s with is used to show @CAPS1 life as compared to the geese and hibiscus.	2	2		2																						106	5	112	1	0	0	4.69811320754717	21.2	28	16	5	5	2	9	58	11.3	9.57	7.22	12	9.2	10.74	12.0	11.6	149
6054	9610	4	In the story “Winter Hibiscus” by Minfong Ho, the author concluded the story with an interesting paragraph. It was, “When they come back, Saeng vowed silently to herself, in the spring when the snow melts and the geese return and this hibiscus is budding, then I will take the test again” (@NUM1). This shows that the girl is adapting to her new country and hopes to do better in the spring. The reson the author ended the story with this paragraph is because it shows that the girl has successfully adapted to her new country and is determined to get stronger as time goes. She is saying when the hibiscus returns, she will be ready to take the test again and not fail it.	2	2		2																						124	5	137	6	0	0	4.435483870967742	24.8	27	19	8	6	5	18	70	11.9	8.07	7.54	14	9.4	11.21	14.0	9.9	163
6059	9615	4	The author concludes with this paragraph to show her determination. When she says. “…when the snows melt and the geese return and his hibiscus is budding, then I will take that test again.” Saeng is explaining how the geese have the determination to fly back and that the hibiscus has the determination to bud again so why shouldn’t she have the determination and confidence to take the test again. Saeng said, “I-I failed the test.” It seems as if failing the driving test made her feel like she was going to fail in the new country. But after she saw the geese’s and hibiscus’s determination through harsh conditions, she was determined to try the test again.	2	2		2																						117	7	128	3	0	0	4.627118644067797	16.857142857142858	24	25	5	6	6	16	69	15.2	9.82	7.79	11	12.4	13.77	14.5	13.0	161
6060	9616	4	The author concludes this story with that paragraph to explain how she already took the test and it is now winter, she will retake the test again when all of the flowers and plants come back to life and start again. Saeng wants to take the test again to show her mother that she can pass it, she bought a plant called. dorl Faeng-noi for nineteen dollars to help her mother not be disapointed. However mother was disapointed that she spent that much money on a plant.	1	1		1																						87	4	95	2	0	0	4.379310344827586	21.75	20	16	2	7	3	10	52	13.7	8.25	7.43	6	11.1	12.06	15.5	8.8	111
